-, -7.14046, 0, 1, 280.  0
48.452, 1.547, 0.632, 1, 1, 0.  0
48.190, 1.769, 0.976, 1, 1, 0.  0
53.126, -3.6025, 0.263, 0, 1, 0.  0
53.166, -3.6388, -1.2016, 0, 1, 39.999
49.399, 1.205, 0.164, 1, 1, 0.  0
46.840, 3. 38, 1.400, 1, 1, 39.999
49.661, 0.681, 0.840, 1, 1, 0.  0
52.481, -2.4723, 0. 23, 1, 1, 0.  0
51.514, -1.2575, 0. 12, 0, 1, 0.  0
48.653, 1.245, 0.303, 1, 1, 0.  0
47.928, 2.111, 0.938, 1, 1, 0.  0
49.520, 0.459, 0.740, 1, 1, 0.  0
51.595, -1.2635, 0.431, 1, 1, 0.  0
51.454, -1.2695, 0.110, 1, 1, 0.  0
49.338, 0.641, 0.231, 1, 1, 0.  0
48.331, 1.648, 0.627, 1, 1, 0.  0
48.956, 1.164, 0.827, 1, 1, 0.  0
50.265, 0.285, 0.772, 1, 1, 0.  0
50.749, 0.829, 0.660, 1, 1, 0.  0
49.983, 0.144, 0.588, 1, 1, 0.  0
49.117, 0.842, 0.679, 1, 1, 0.  0
49. 97, 0.923, 0.845, 1, 1, 0.  0
49.620, 0.419, 0.952, 1, 1, 0.  0
49.862, 0.117, 0.967, 1, 1, 0.  0
49.882, 0.338, 1.  0, 1, 1, 39.999
50. 23, 0. 16, 0.999, 1, 1, 0.  0
50.728, 0.950, 0.904, 1, 1, 0.  0
50. 84, 0.326, 0.791, 1, 1, 0.  0
48.633, 0.117, 0.911, 1, 1, 0.  0
51.232, -1.2091, 0.864, 1, 1, 0.  0
52.985, -3.6065, 0.384, 0, 1, 0.  0
50.648, 0.829, 0.194, 1, 1, 0.  0
48.130, 1.890, 0.544, 1, 1, 0.  0
48.  9, 2.172, 1.153, 1, 1, 39.999
52.239, -2.4139, 0.246, 1, 1, 0.  0
53.347, -3.6670, -1.2023, 0, 1, 39.999
50. 84, 0.245, 0.  0, 1, 1, 0.  0
48.291, 1.789, 0.403, 1, 1, 0.  0
49.701, 0.782, 0.452, 1, 1, 0.  0
52.360, -2.4280, 0.193, 0, 1, 0.  0
53.126, -3.6227, 0.968, 0, 1, 0.  0
51. 91, -1.2091, 0.109, 0, 1, 0.  0
48.976, 0.983, 0. 71, 1, 1, 0.  0
49.258, 0.741, 0.252, 1, 1, 0.  0
50.930, 0.789, 0.231, 1, 1, 0.  0
51.796, -1.2756, 0.175, 0, 1, 0.  0
50.910, 0.950, 0.  0, 1, 1, 0.  0
49.520, 0.419, 0. 24, 1, 1, 0.  0
49.318, 0.701, 0.144, 1, 1, 0.  0
50.184, 0.124, 0.184, 1, 1, 0.  0
50.628, 0.648, 0. 96, 1, 1, 0.  0
50.265, 0.326, 0.  7, 1, 1, 0.  0
49.499, 0.379, 0. 32, 1, 1, 0.  0
49.459, 0.540, 0.126, 1, 1, 0.  0
49.842, 0.177, 0.184, 1, 1, 0.  0
50. 23, 0. 43, 0.185, 1, 1, 0.  0
49.782, 0.177, 0.198, 1, 1, 0.  0
49.479, 0.439, 0.262, 1, 1, 0.  0
49.580, 0.439, 0.347, 1, 1, 0.  0
49.802, 0.238, 0.400, 1, 1, 0.  0
49.842, 0.137, 0.417, 1, 1, 0.  0
49.600, 0.419, 0.466, 1, 1, 0.  0
49.399, 0.600, 0.560, 1, 1, 0.  0
49.540, 0.520, 0.656, 1, 1, 0.  0
49.963, 0. 76, 0.699, 1, 1, 0.  0
50.  3, 0. 43, 0.692, 1, 1, 0.  0
