
 System Startup!

 Motor Initialized! 

 Load Cell Configured! 

 Controller Initialized! 
16.157, 33.842, 112.303, 1, 1, 4000.  0
6.970, 43. 29, 186. 26, 1, 1, 4000.  0
16.983, 43. 89, 186.285, 1, 1, 4000.  0
18.554, 31.445, 98.479, 1, 1, 3920.  0
34.470, 15.529, 24.293, 1, 1, 959.999
52. 78, -2.4078, 0.563, 1, 1, 0.  0
67.108, -17.34108, -28.56275, 0, 1, 1120.  0
78.913, -28.56913, -80.160439, 0, 1, 3200.  0
80.847, -32.64500, -103.206806, 0, 1, 4000.  0
79.739, -29.58739, -86.172245, 0, 1, 3440.  0
62.131, -12.24131, -14.28558, 0, 1, 560.  0
42.730, 7.269, 5.233, 1, 1, 200.  0
24.437, 25.562, 64.306, 1, 1, 2559.999
5.117, 37.710, 140.307, 1, 1, 4000.  0
4.875, 45.124, 204. 60, 1, 1, 4000.  0
8.663, 41.336, 170.481, 1, 1, 4000.  0
38.782, 27.979, 76.545, 1, 1, 3039.999
40.615, 9.384, 9.446, 1, 1, 360.  0
56.732, -6.12732, -3.6106, 0, 1, 119.999
71.761, -21.42761, -45.90202, 0, 1, 1799.999
82.298, -32.64298, -103.206355, 0, 1, 4000.  0
79.115, -32.64500, -104.208000, 0, 1, 4000.  0
77.503, -27.54503, -74.148259, 0, 1, 2960.  0
57.880, -7.14880, -5.10516, 0, 1, 200.  0
38. 16, 11.983, 13.301, 1, 1, 519.999
19.965, 30. 34, 90.824, 1, 1, 3599.999
9.549, 40.450, 162.802, 1, 1, 4000.  0
4.855, 45.144, 204.151, 1, 1, 4000.  0
11.826, 38.173, 146. 61, 1, 1, 4000.  0
27.620, 22.379, 50.234, 1, 1, 2000.  0
47.324, 2.675, 1.535, 1, 1, 39.999
64.428, -14.28428, -19.38344, 0, 1, 759.999
79.236, -29.58236, -84.168514, 0, 1, 3359.999
82.500, -32.64500, -104.208000, 0, 1, 4000.  0
74.965, -32.64500, -104.208000, 0, 1, 4000.  0
73.252, -23.46252, -53.106481, 0, 1, 2119.999
32.516, -2.4098, 0.419, 0, 1, 0.  0
30.763, 19.236, 36.741, 1, 1, 1440.  0
18.333, 31.666, 98.675, 1, 1, 3920.  0
7.534, 39.926, 156.622, 1, 1, 4000.  0
8. 98, 41.901, 172.794, 1, 1, 4000.  0
18.272, 31.727, 99.354, 1, 1, 3960.  0
36.324, 13.675, 18.778, 1, 1, 720.  0
53.347, -3.6347, 0. 37, 0, 1, 0.  0
82.500, -21.42782, -44.88993, 0, 1, 1759.999
82.500, -32.64500, -103.206576, 0, 1, 4000.  0
82.500, -32.64500, -103.206901, 0, 1, 4000.  0
82.500, -32.64500, -104.208000, 0, 1, 4000.  0
65.456, -15.30456, -23.46184, 0, 1, 920.  0
44.886, 5.113, 2.607, 1, 1, 79.999
16.358, 22.943, 50.755, 1, 1, 2000.  0
15.593, 34.406, 117.607, 1, 1, 4000.  0
8.360, 41.639, 171.720, 1, 1, 4000.  0
12.208, 37.791, 140.827, 1, 1, 4000.  0
43.576, 23.769, 55.669, 1, 1, 2200.  0
45.470, 4.529, 2.811, 1, 1, 79.999
