Sample: 225, LoadCell: 2705, Duty: 3, Dir: 1
Sample: 226, LoadCell: 2682, Duty: 3, Dir: 1
Sample: 227, LoadCell: 2681, Duty: 3, Dir: 1
Sample: 228, LoadCell: 2718, Duty: 3, Dir: 1
Sample: 229, LoadCell: 2673, Duty: 3, Dir: 1
Sample: 230, LoadCell: 2684, Duty: 3, Dir: 1
Sample: 231, LoadCell: 2683, Duty: 3, Dir: 1
Sample: 232, LoadCell: 2702, Duty: 3, Dir: 1
Sample: 233, LoadCell: 2722, Duty: 3, Dir: 1
Sample: 234, LoadCell: 2688, Duty: 3, Dir: 1
Sample: 235, LoadCell: 2728, Duty: 3, Dir: 1
Sample: 236, LoadCell: 2714, Duty: 3, Dir: 1
Sample: 237, LoadCell: 2681, Duty: 3, Dir: 1
Sample: 238, LoadCell: 2717, Duty: 3, Dir: 1
Sample: 239, LoadCell: 2721, Duty: 3, Dir: 1
Sample: 240, LoadCell: 2703, Duty: 3, Dir: 1
Sample: 241, LoadCell: 2686, Duty: 3, Dir: 1
Sample: 242, LoadCell: 2687, Duty: 3, Dir: 1
Sample: 243, LoadCell: 2711, Duty: 3, Dir: 1
Sample: 244, LoadCell: 2685, Duty: 3, Dir: 1
Sample: 245, LoadCell: 2724, Duty: 3, Dir: 1
Sample: 246, LoadCell: 2697, Duty: 3, Dir: 1
Sample: 247, LoadCell: 2688, Duty: 3, Dir: 1
Sample: 248, LoadCell: 2680, Duty: 3, Dir: 1
Sample: 249, LoadCell: 2729, Duty: 3, Dir: 1
Sample: 250, LoadCell: 2676, Duty: 3, Dir: 1
Sample: 251, LoadCell: 2710, Duty: 3, Dir: 1
Sample: 252, LoadCell: 2708, Duty: 3, Dir: 1
Sample: 253, LoadCell: 2690, Duty: 3, Dir: 1
Sample: 254, LoadCell: 2683, Duty: 3, Dir: 1
Sample: 255, LoadCell: 2694, Duty: 3, Dir: 1
Sample: 256, LoadCell: 2730, Duty: 3, Dir: 1
Sample: 257, LoadCell: 2722, Duty: 3, Dir: 1
Sample: 258, LoadCell: 2716, Duty: 3, Dir: 1
Sample: 259, LoadCell: 2686, Duty: 3, Dir: 1
Sample: 260, LoadCell: 2699, Duty: 3, Dir: 1
Sample: 261, LoadCell: 2692, Duty: 3, Dir: 1
Sample: 262, LoadCell: 2684, Duty: 3, Dir: 1
Sample: 263, LoadCell: 2685, Duty: 3, Dir: 1
Sample: 264, LoadCell: 2687, Duty: 3, Dir: 1
Sample: 265, LoadCell: 2714, Duty: 3, Dir: 1
Sample: 266, LoadCell: 2700, Duty: 3, Dir: 1
Sample: 267, LoadCell: 2724, Duty: 3, Dir: 1
Sample: 268, LoadCell: 2690, Duty: 3, Dir: 1
Sample: 269, LoadCell: 2684, Duty: 3, Dir: 1
Sample: 270, LoadCell: 2684, Duty: 3, Dir: 1
Sample: 271, LoadCell: 2693, Duty: 3, Dir: 1
Sample: 272, LoadCell: 2694, Duty: 3, Dir: 1
Sample: 273, LoadCell: 2690, Duty: 3, Dir: 1
Sample: 274, LoadCell: 2713, Duty: 3, Dir: 1
Sample: 275, LoadCell: 2684, Duty: 3, Dir: 1
Sample: 276, LoadCell: 2711, Duty: 3, Dir: 1
Sample: 277, LoadCell: 2705, Duty: 3, Dir: 1
Sample: 278, LoadCell: 2728, Duty: 3, Dir: 1
Sample: 279, LoadCell: 2684, Duty: 3, Dir: 1
Sample: 280, LoadCell: 2731, Duty: 3, Dir: 1
Sample: 281, LoadCell: 2701, Duty: 3, Dir: 1
Sample: 282, LoadCell: 2731, Duty: 3, Dir: 0
Sample: 283, LoadCell: 2715, Duty: 3, Dir: 0
Sample: 284, LoadCell: 2721, Duty: 3, Dir: 0
Sample: 285, LoadCell: 2679, Duty: 3, Dir: 0
Sample: 286, LoadCell: 2680, Duty: 3, Dir: 0
Sample: 287, LoadCell: 2721, Duty: 3, Dir: 0
Sample: 288, LoadCell: 2681, Duty: 3, Dir: 0
Sample: 289, LoadCell: 2685, Duty: 3, Dir: 0
Sample: 290, LoadCell: 2685, Duty: 3, Dir: 0
Sample: 291, LoadCell: 2696, Duty: 3, Dir: 0
Sample: 292, LoadCell: 2705, Duty: 3, Dir: 0
Sample: 293, LoadCell: 2716, Duty: 3, Dir: 0
Sample: 294, LoadCell: 2689, Duty: 3, Dir: 0
Sample: 295, LoadCell: 2688, Duty: 3, Dir: 0
Sample: 296, LoadCell: 2725, Duty: 3, Dir: 0
Sample: 297, LoadCell: 2715, Duty: 3, Dir: 0
Sample: 298, LoadCell: 2698, Duty: 3, Dir: 0
Sample: 299, LoadCell: 2691, Duty: 3, Dir: 0
Sample: 300, LoadCell: 2706, Duty: 3, Dir: 0
Sample: 301, LoadCell: 2724, Duty: 3, Dir: 0
Sample: 302, LoadCell: 2728, Duty: 3, Dir: 0
Sample: 303, LoadCell: 2705, Duty: 3, Dir: 0
Sample: 304, LoadCell: 2725, Duty: 3, Dir: 0
Sample: 305, LoadCell: 2693, Duty: 3, Dir: 0
Sample: 306, LoadCell: 2686, Duty: 3, Dir: 0
Sample: 307, LoadCell: 2693, Duty: 3, Dir: 0
Sample: 308, LoadCell: 2683, Duty: 3, Dir: 0
Sample: 309, LoadCell: 2686, Duty: 3, Dir: 0
Sample: 310, LoadCell: 2707, Duty: 3, Dir: 0
Sample: 311, LoadCell: 2683, Duty: 3, Dir: 0
Sample: 312, LoadCell: 2695, Duty: 3, Dir: 0
Sample: 313, LoadCell: 2679, Duty: 3, Dir: 0
Sample: 314, LoadCell: 2702, Duty: 3, Dir: 0
Sample: 315, LoadCell: 2698, Duty: 3, Dir: 0
Sample: 316, LoadCell: 2731, Duty: 3, Dir: 0
Sample: 317, LoadCell: 2728, Duty: 3, Dir: 0
Sample: 318, LoadCell: 2689, Duty: 3, Dir: 0
Sample: 319, LoadCell: 2706, Duty: 3, Dir: 0
Sample: 320, LoadCell: 2686, Duty: 3, Dir: 0
Sample: 321, LoadCell: 2688, Duty: 3, Dir: 0
Sample: 322, LoadCell: 2724, Duty: 3, Dir: 0
Sample: 323, LoadCell: 2680, Duty: 3, Dir: 0
Sample: 324, LoadCell: 2674, Duty: 3, Dir: 0
Sample: 325, LoadCell: 2691, Duty: 3, Dir: 0
Sample: 326, LoadCell: 2728, Duty: 3, Dir: 0
Sample: 327, LoadCell: 2686, Duty: 3, Dir: 0
Sample: 328, LoadCell: 2723, Duty: 3, Dir: 0
Sample: 329, LoadCell: 2691, Duty: 3, Dir: 0
Sample: 330, LoadCell: 2692, Duty: 3, Dir: 0
Sample: 331, LoadCell: 2730, Duty: 3, Dir: 0
Sample: 332, LoadCell: 2687, Duty: 3, Dir: 0
Sample: 333, LoadCell: 2726, Duty: 3, Dir: 0
Sample: 334, LoadCell: 2699, Duty: 3, Dir: 0
Sample: 335, LoadCell: 2719, Duty: 3, Dir: 0
Sample: 336, LoadCell: 2703, Duty: 3, Dir: 0
Sample: 337, LoadCell: 2697, Duty: 3, Dir: 0
Sample: 338, LoadCell: 2690, Duty: 3, Dir: 0
Sample: 339, LoadCell: 2696, Duty: 3, Dir: 0
Sample: 340, LoadCell: 2682, Duty: 3, Dir: 0
Sample: 341, LoadCell: 2672, Duty: 3, Dir: 0
Sample: 342, LoadCell: 2710, Duty: 3, Dir: 0
Sample: 343, LoadCell: 2729, Duty: 3, Dir: 0
Sample: 344, LoadCell: 2696, Duty: 3, Dir: 0
Sample: 345, LoadCell: 2680, Duty: 3, Dir: 0
Sample: 346, LoadCell: 2684, Duty: 3, Dir: 0
Sample: 347, LoadCell: 2729, Duty: 3, Dir: 0
Sample: 348, LoadCell: 2726, Duty: 3, Dir: 0
Sample: 349, LoadCell: 2685, Duty: 3, Dir: 0
Sample: 350, LoadCell: 2703, Duty: 3, Dir: 0
Sample: 351, LoadCell: 2679, Duty: 3, Dir: 0
Sample: 352, LoadCell: 2681, Duty: 3, Dir: 0
Sample: 353, LoadCell: 2684, Duty: 3, Dir: 0
Sample: 354, LoadCell: 2713, Duty: 3, Dir: 0
Sample: 355, LoadCell: 2727, Duty: 3, Dir: 0
Sample: 356, LoadCell: 2705, Duty: 3, Dir: 0
Sample: 357, LoadCell: 2674, Duty: 3, Dir: 0
Sample: 358, LoadCell: 2715, Duty: 3, Dir: 0
Sample: 359, LoadCell: 2713, Duty: 3, Dir: 0
Sample: 360, LoadCell: 2730, Duty: 3, Dir: 0
Sample: 361, LoadCell: 2696, Duty: 3, Dir: 0
Sample: 362, LoadCell: 2689, Duty: 3, Dir: 0
Sample: 363, LoadCell: 2709, Duty: 3, Dir: 0
Sample: 364, LoadCell: 2710, Duty: 3, Dir: 0
Sample: 365, LoadCell: 2688, Duty: 3, Dir: 0
Sample: 366, LoadCell: 2714, Duty: 3, Dir: 0
Sample: 367, LoadCell: 2682, Duty: 3, Dir: 0
Sample: 368, LoadCell: 2688, Duty: 3, Dir: 0
Sample: 369, LoadCell: 2694, Duty: 3, Dir: 0
Sample: 370, LoadCell: 2716, Duty: 3, Dir: 0
Sample: 371, LoadCell: 2718, Duty: 3, Dir: 0
Sample: 372, LoadCell: 2728, Duty: 3, Dir: 0
Sample: 373, LoadCell: 2708, Duty: 3, Dir: 0
Sample: 374, LoadCell: 2709, Duty: 3, Dir: 0
Sample: 375, LoadCell: 2689, Duty: 3, Dir: 0
Sample: 376, LoadCell: 2708, Duty: 3, Dir: 1
Sample: 377, LoadCell: 2699, Duty: 3, Dir: 1
Sample: 378, LoadCell: 2728, Duty: 3, Dir: 1
Sample: 379, LoadCell: 2727, Duty: 3, Dir: 1
Sample: 380, LoadCell: 2700, Duty: 3, Dir: 1
Sample: 381, LoadCell: 2705, Duty: 3, Dir: 1
Sample: 382, LoadCell: 2732, Duty: 3, Dir: 1
Sample: 383, LoadCell: 2715, Duty: 3, Dir: 1
Sample: 384, LoadCell: 2677, Duty: 3, Dir: 1
Sample: 385, LoadCell: 2681, Duty: 3, Dir: 1
Sample: 386, LoadCell: 2719, Duty: 3, Dir: 1
Sample: 387, LoadCell: 2714, Duty: 3, Dir: 1
Sample: 388, LoadCell: 2688, Duty: 3, Dir: 1
Sample: 389, LoadCell: 2728, Duty: 3, Dir: 1
Sample: 390, LoadCell: 2686, Duty: 3, Dir: 1
Sample: 391, LoadCell: 2728, Duty: 3, Dir: 1
Sample: 392, LoadCell: 2724, Duty: 3, Dir: 1
Sample: 393, LoadCell: 2729, Duty: 3, Dir: 1
Sample: 394, LoadCell: 2730, Duty: 3, Dir: 1
Sample: 395, LoadCell: 2703, Duty: 3, Dir: 1
Sample: 396, LoadCell: 2708, Duty: 3, Dir: 1
